TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
11/16/2014 9:19:38 PM,S0,S1,,,,,RoadkillTabActivity:onCreate;ReportActivity:onCreate;ReportActivity:onStart;ReportActivity:onResume;ReportActivity:isPaused;asyncDone(AsyncReporter:Payload);ReportActivity:showDialog;ReportActivity:showDialog;ReportActivity:onLocationChanged;ReportActivity:onLocationChanged;ReportActivity:onStatusChanged;ReportActivity:onPause;ViewReportsActivity:onCreate;ViewReportsActivity:onResume;ViewReportsActivity:refreshReports;ViewReportsActivity:isPaused;asyncDone(AsyncReporter:Payload);ViewReportsActivity:showReports;AboutActivity:onCreate;ReportActivity:onResume;,
11/16/2014 9:19:47 PM,S1,S1,IamgeButton,,onClick,,ReportActivity:onClick;ReportActivity:showDialog;,
11/16/2014 9:19:48 PM,S1,S1,,,,,ReportActivity:reportRaccoon;ReportActivity:isPaused;asyncDone(AsyncReporter:Payload);ReportActivity:showDialog;ReportActivity:showDialog;ReportActivity:onPause;ViewReportsActivity:onResume;ViewReportsActivity:refreshReports;ViewReportsActivity:isPaused;asyncDone(AsyncReporter:Payload);ViewReportsActivity:showReports;ReportActivity:onStop;ReportActivity:onLocationChanged;ReportActivity:onStatusChanged;ReportActivity:onLocationChanged;ReportActivity:onStatusChanged;ReportActivity:onLocationChanged;ReportActivity:onLocationChanged;ReportActivity:onLocationChanged;ReportActivity:onLocationChanged;ReportActivity:onLocationChanged;ReportActivity:onStatusChanged;ReportActivity:onLocationChanged;ReportActivity:onLocationChanged;,
