TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
11/08/2014 6:21:11 PM,S1,QuickReferenceActivity ,,,1,
11/08/2014 6:21:19 PM,S2,QuickReferenceDetailActivity ,,,2,
11/08/2014 6:21:22 PM,S3,QuickReferenceDetailActivity ,,,2,
11/08/2014 6:21:24 PM,S4,QuickReferenceActivity ,,,7,
11/08/2014 6:21:25 PM,S5,OracleActivity ,,,3,
11/08/2014 6:21:36 PM,S6,IPGActivity ,,,2,
11/08/2014 6:21:40 PM,S7,IPGDetailActivity ,,,2,
11/08/2014 6:21:47 PM,S8,IPGDisplayActivity ,,,2,
