TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
1415390933.897095,S1,QuickReferenceController,Quick Ref.,S-1415390933.897174-1.jpg,2,
1415390944.094404,S2,CompRulesContents,Comp. Rules,S-1415390944.094489-2.jpg,3,
1415390958.857541,S3,CompRulesSubContents,1. Game Concepts,S-1415390958.857625-3.jpg,2,
1415390974.345016,S4,CompRulesDetails,100. General,S-1415390974.345134-4.jpg,2,
1415390988.763877,S5,CompRulesDetails,100. General,S-1415390988.763997-5.jpg,2,
1415391001.648921,S6,CompRulesSubContents,1. Game Concepts,S-1415391001.648984-6.jpg,2,
1415391012.407865,S7,CompRulesContents,Comp. Rules,S-1415391012.407951-7.jpg,3,
1415391032.718799,S8,CompRulesContents,Comp. Rules,S-1415391032.718873-8.jpg,4,
1415391048.529229,S9,CompRulesContents,Comp. Rules,S-1415391048.529316-9.jpg,3,
1415391059.843988,S10,MoreViewsController,More Features,S-1415391059.844062-10.jpg,2,
1415391067.463871,S11,DecklistCounterController,Decklist Counter,S-1415391067.463956-11.jpg,8,
1415391077.403603,S12,DecklistCounterController,Decklist Counter,S-1415391077.403667-12.jpg,8,
1415391086.012799,S13,DecklistCounterController,Decklist Counter,S-1415391086.012897-13.jpg,8,
1415391096.931293,S14,DecklistCounterController,Decklist Counter,S-1415391096.931399-14.jpg,8,
1415391106.119765,S15,DecklistCounterController,Decklist Counter,S-1415391106.119831-15.jpg,8,
1415391118.622789,S16,MoreViewsController,More Features,S-1415391118.622881-16.jpg,2,
1415391132.858918,S17,DraftTimer,Draft Timer,S-1415391132.859002-17.jpg,7,
1415391167.618773,S18,DraftTimer,Draft Timer,S-1415391167.618838-18.jpg,7,
1415391179.433059,S19,DraftTimer,Draft Timer,S-1415391179.433131-19.jpg,7,
1415391193.017539,S20,MoreViewsController,More Features,S-1415391193.017615-20.jpg,2,
1415391215.842836,S21,CheckForUpdatesController,Update,S-1415391215.842948-21.jpg,3,
1415391228.643190,S22,MoreViewsController,More Features,S-1415391228.643246-22.jpg,2,
1415391239.494429,S23,QuickReferenceController,Quick Ref.,S-1415391239.494483-23.jpg,2,
