State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UITabBar,,itemClicked,5,
S1,E2,UITableView,,tableCellClicked,8,
S2,E1,UITabBar,,itemClicked,5,
S2,E2,UITableView,,tableCellClicked,10,
S2,E3,UISearchBar,,,,
S3,E1,UITabBar,,itemClicked,5,
S3,E2,UITableView,,tableCellClicked,22,
S4,E1,UITabBar,,itemClicked,5,
S4,E2,UIWebView,,,,
S5,E1,UITabBar,,itemClicked,5,
S5,E2,UIWebView,,,,
S6,E1,UITabBar,,itemClicked,5,
S6,E2,UITableView,,tableCellClicked,22,
S7,E1,UITabBar,,itemClicked,5,
S7,E2,UITableView,,tableCellClicked,10,
S7,E3,UISearchBar,,,,
S8,E1,UITabBar,,itemClicked,5,
S8,E2,UITableView,,tableCellClicked,10,
S8,E3,UIToolbar,,,,
S8,E4,UISearchBar,,,,
S9,E1,UITabBar,,itemClicked,5,
S9,E2,UITableView,,tableCellClicked,10,
S9,E3,UISearchBar,,,,
S10,E1,UITabBar,,itemClicked,5,
S10,E2,UITableView,,tableCellClicked,3,
S11,E1,UITabBar,,itemClicked,5,
S11,E2,UIButton,1,button1Pressed,,
S11,E3,UIButton,2,button2Pressed,,
S11,E4,UIButton,3,button3Pressed,,
S11,E5,UIButton,4,button4Pressed,,
S11,E6,UILabel,Total: 0 (+0),,,
S11,E7,UIButton,Reset,resetPressed,,
S11,E8,UIButton,Undo,undoPressed,,
S12,E1,UITabBar,,itemClicked,5,
S12,E2,UIButton,1,button1Pressed,,
S12,E3,UIButton,2,button2Pressed,,
S12,E4,UIButton,3,button3Pressed,,
S12,E5,UIButton,4,button4Pressed,,
S12,E6,UILabel,Total: 2 (+2),,,
S12,E7,UIButton,Reset,resetPressed,,
S12,E8,UIButton,Undo,undoPressed,,
S13,E1,UITabBar,,itemClicked,5,
S13,E2,UIButton,1,button1Pressed,,
S13,E3,UIButton,2,button2Pressed,,
S13,E4,UIButton,3,button3Pressed,,
S13,E5,UIButton,4,button4Pressed,,
S13,E6,UILabel,Total: 0 ,,,
S13,E7,UIButton,Reset,resetPressed,,
S13,E8,UIButton,Undo,undoPressed,,
S14,E1,UITabBar,,itemClicked,5,
S14,E2,UIButton,1,button1Pressed,,
S14,E3,UIButton,2,button2Pressed,,
S14,E4,UIButton,3,button3Pressed,,
S14,E5,UIButton,4,button4Pressed,,
S14,E6,UILabel,Total: 4 (+4),,,
S14,E7,UIButton,Reset,resetPressed,,
S14,E8,UIButton,Undo,undoPressed,,
S15,E1,UITabBar,,itemClicked,5,
S15,E2,UIButton,1,button1Pressed,,
S15,E3,UIButton,2,button2Pressed,,
S15,E4,UIButton,3,button3Pressed,,
S15,E5,UIButton,4,button4Pressed,,
S15,E6,UILabel,Total: 0 ,,,
S15,E7,UIButton,Reset,resetPressed,,
S15,E8,UIButton,Undo,undoPressed,,
S16,E1,UITabBar,,itemClicked,5,
S16,E2,UITableView,,tableCellClicked,3,
S17,E1,UITabBar,,itemClicked,5,
S17,E2,UILabel,40.00,,,
S17,E3,UIButton,Start,startClicked:,,
S17,E4,UIButton,Next,nextClicked:,,
S17,E5,UIButton,Previous,previousClicked:,,
S17,E6,UILabel,Pack 1; Pick 1,,,
S17,E7,UILabel,Open your first pack and count out the cards face down in front of you. You should have 14 cards.,,,
S18,E1,UITabBar,,itemClicked,5,
S18,E2,UILabel,35.00,,,
S18,E3,UIButton,Start,startClicked:,,
S18,E4,UIButton,Next,nextClicked:,,
S18,E5,UIButton,Previous,previousClicked:,,
S18,E6,UILabel,Pack 1; Pick 2,,,
S18,E7,UILabel,Lay out your pack to your left. You should have 13 cards.,,,
S19,E1,UITabBar,,itemClicked,5,
S19,E2,UILabel,40.00,,,
S19,E3,UIButton,Start,startClicked:,,
S19,E4,UIButton,Next,nextClicked:,,
S19,E5,UIButton,Previous,previousClicked:,,
S19,E6,UILabel,Pack 1; Pick 1,,,
S19,E7,UILabel,Open your first pack and count out the cards face down in front of you. You should have 14 cards.,,,
S20,E1,UITabBar,,itemClicked,5,
S20,E2,UITableView,,tableCellClicked,3,
S21,E1,UITabBar,,itemClicked,5,
S21,E2,UILabel,Note:  The app automatically checks for updates approximately every 2 hours.,,,
S21,E3,UILabel,Updates available!,,,
S22,E1,UITabBar,,itemClicked,5,
S22,E2,UITableView,,tableCellClicked,3,
S23,E1,UITabBar,,itemClicked,5,
S23,E2,UITableView,,tableCellClicked,8,
